lon,lat,result_discrete,prob
-180,75,3,0.5055578351020813
-179,75,3,0.9999994039535522
-178,75,3,0.9999997615814209
-177,75,3,0.9999998807907104
-176,75,3,0.8879972100257874
-175,75,3,1.0
-174,75,3,0.7456095218658447
-173,75,3,0.7511264085769653
-172,75,3,1.0
-171,75,3,1.0
-170,75,3,0.9974285960197449
-169,75,3,0.9937403202056885
-168,75,3,0.9999516010284424
-167,75,3,0.9999645948410034
-166,75,3,0.9999874830245972
-165,75,3,0.9984377026557922
-164,75,3,0.9978873133659363
-163,75,3,0.9927197694778442
-162,75,3,0.9915953278541565
-161,75,3,0.9919366836547852
-160,75,3,0.9999634027481079
-159,75,3,0.9944881796836853
-158,75,3,0.9963309168815613
-157,75,3,0.9832220673561096
-156,75,11,0.5583662390708923
-155,75,3,0.9999997615814209
-154,75,3,0.9976329803466797
-153,75,3,1.0
-152,75,3,0.9999125003814697
-151,75,3,1.0
-150,75,3,0.999946117401123
-149,75,3,0.9999644756317139
-148,75,3,1.0
-147,75,3,0.9999960660934448
-146,75,3,1.0
-145,75,3,1.0
-144,75,3,0.9999979734420776
-143,75,3,0.9999945163726807
-142,75,3,1.0
-141,75,3,0.9999145269393921
-140,75,3,0.999845027923584
-139,75,3,0.9998469352722168
-138,75,3,1.0
-137,75,3,0.9998868703842163
-136,75,3,1.0
-135,75,3,0.9999561309814453
-134,75,3,0.999909520149231
-133,75,3,1.0
-132,75,3,0.9999892711639404
-131,75,3,0.9999959468841553
-130,75,3,1.0
-129,75,3,1.0
-128,75,3,1.0
-127,75,3,0.9999923706054688
-126,75,3,0.999998927116394
-125,75,3,1.0
-124,75,3,0.9991059899330139
-123,75,3,1.0
-122,75,3,1.0
-121,75,3,1.0
-120,75,3,1.0
-119,75,3,0.9999945163726807
-118,75,3,0.9999916553497314
-117,75,3,0.9996229410171509
-116,75,3,0.9999241828918457
-114,75,3,0.9976414442062378
-113,75,3,0.9757628440856934
-112,75,3,0.9624388217926025
-109,75,3,0.9997575879096985
-106,75,3,0.5071343779563904
-105,75,3,0.9999879598617554
-104,75,3,0.9999959468841553
-103,75,3,0.9023049473762512
-102,75,3,0.7516956329345703
-101,75,3,0.9997442364692688
-99,75,3,0.999976634979248
-98,75,3,0.9999910593032837
-97,75,3,0.9999136924743652
-93,75,3,0.9987722039222717
-80,75,3,0.9423648715019226
-79,75,3,0.8411597609519958
-78,75,3,0.8513371348381042
-77,75,11,0.8778393864631653
-76,75,3,0.5817501544952393
-75,75,3,0.8709231615066528
-74,75,3,0.7866730093955994
-73,75,3,0.8726924657821655
-72,75,3,0.6571551561355591
-71,75,3,0.7322396636009216
-70,75,11,0.789387047290802
-69,75,11,0.8961988687515259
-68,75,3,0.5817845463752747
-67,75,3,0.7976364493370056
-66,75,3,0.9062902331352234
-65,75,11,0.5573427677154541
-64,75,3,0.6602198481559753
-63,75,3,0.9206688404083252
-62,75,3,0.9549329876899719
-61,75,3,0.9427433013916016
-60,75,3,0.9998038411140442
-59,75,3,0.9999076128005981
-58,75,3,0.9771914482116699
-20,75,11,0.4981646239757538
-19,75,11,0.7836573719978333
-18,75,3,0.6692582368850708
-17,75,3,0.5768063068389893
-16,75,3,0.9068568348884583
-15,75,3,0.9012196063995361
-14,75,3,0.8833088874816895
-13,75,11,0.5624766945838928
-12,75,11,0.9205746054649353
-11,75,11,0.6015466451644897
-10,75,11,0.891581654548645
-9,75,11,0.5143676400184631
-8,75,11,0.6661995649337769
-7,75,11,0.6346562504768372
-6,75,11,0.9725491404533386
-5,75,11,0.9199488759040833
-4,75,3,0.5497753024101257
-3,75,3,0.5108726620674133
-2,75,3,0.4473210871219635
-1,75,1,0.5065591931343079
0,75,3,0.8575080633163452
1,75,1,0.45968854427337646
2,75,11,0.7567101120948792
3,75,11,0.572176456451416
4,75,3,0.5135646462440491
5,75,1,0.5185030102729797
6,75,1,0.9796619415283203
7,75,11,0.6644986867904663
8,75,4,0.5357852578163147
9,75,1,0.8054945468902588
10,75,1,0.6192361116409302
11,75,3,0.3992424011230469
12,75,3,0.5525103807449341
13,75,11,0.6140968203544617
14,75,3,0.4715414345264435
15,75,11,0.6404107213020325
16,75,11,0.6327474117279053
17,75,11,0.5634568333625793
18,75,11,0.43635186553001404
19,75,3,0.674659788608551
20,75,3,0.9103335738182068
21,75,3,0.9065654873847961
22,75,3,0.9280506372451782
23,75,3,0.9240577220916748
24,75,3,0.9924314022064209
25,75,3,0.6561369895935059
26,75,3,0.7045648097991943
27,75,11,0.9635319113731384
28,75,11,0.9900280833244324
29,75,11,0.9948663711547852
30,75,11,0.9962661862373352
31,75,11,0.9925742149353027
32,75,11,0.9961023330688477
33,75,11,0.9909419417381287
34,75,11,0.957413375377655
35,75,11,0.7326499819755554
36,75,1,0.7827038168907166
37,75,1,0.6790475249290466
38,75,11,0.504266619682312
39,75,11,0.53592848777771
40,75,1,0.5243092775344849
41,75,1,0.4981798827648163
42,75,11,0.5206578969955444
43,75,11,0.5446214079856873
44,75,11,0.5599198341369629
45,75,11,0.7065123915672302
