longitude,latitude,lithology,bathymetry,nitrate,oxygen,phosphate,productivity,salinity,silicate,temperature
-19,75,2,-167.0,,8.025972366,,727.0857543999998,30.40810966,,-1.930649042
-19,75,2,-167.0,,8.025972366,,727.0857543999998,30.40810966,,-1.930649042
-19,75,2,-167.0,,8.025972366,,727.0857543999998,30.40810966,,-1.930649042
-18,75,2,-115.0,7.739880562000001,7.905417919,0.689741313,646.1174316,31.69492912,4.473611832,-2.038239956
-18,75,2,-115.0,7.739880562000001,7.905417919,0.689741313,646.1174316,31.69492912,4.473611832,-2.038239956
-18,75,2,-115.0,7.739880562000001,7.905417919,0.689741313,646.1174316,31.69492912,4.473611832,-2.038239956
-18,75,2,-115.0,7.739880562000001,7.905417919,0.689741313,646.1174316,31.69492912,4.473611832,-2.038239956
-17,75,2,-287.0,7.175117492999999,7.834529877,0.661522746,520.1110229,32.45679092,4.1771097180000005,-2.064908981
-2,75,1,-3633.0,7.721316337999999,7.816307067999999,0.568277359,641.1381836,34.66889191,3.934152365,1.48962605
3,75,2,-2812.0,8.237163544,7.776480198,0.56434375,558.1630859,35.09070969,4.2848477360000015,3.209126949
-10,74,2,-3065.0,6.628648758,8.288529396,0.5489375,631.4421997000002,33.59217072,3.6800704,0.388919592
-10,74,2,-3065.0,6.628648758,8.288529396,0.5489375,631.4421997000002,33.59217072,3.6800704,0.388919592
-10,74,2,-3065.0,6.628648758,8.288529396,0.5489375,631.4421997000002,33.59217072,3.6800704,0.388919592
-10,74,2,-3065.0,6.628648758,8.288529396,0.5489375,631.4421997000002,33.59217072,3.6800704,0.388919592
-9,74,2,-3193.0,6.712824345,8.284122467000001,0.547777295,598.9775391,33.93577957,3.687917948,0.441360205
-9,74,2,-3193.0,6.712824345,8.284122467000001,0.547777295,598.9775391,33.93577957,3.687917948,0.441360205
-8,74,2,-3225.0,6.8111639020000005,8.272738457,0.547812521,604.9775391,34.00004959,3.709312439,0.468146086
0,74,2,-3277.0,7.918159962000001,7.9077529910000015,0.577554703,577.6013793999998,34.92969894,4.171668053,3.085056067
5,74,1,-3019.0,8.409617424,7.511397839,0.582777321,583.5797119,35.16041946,4.512410163999999,4.014560223
8,74,1,-2108.0,8.273269653,7.292286872999999,0.567812502,645.4526977999999,34.93944931,4.484507561,4.073061943
9,74,2,-2726.0,8.128320694,7.236228942999999,0.558683574,664.9785767000002,34.81568909,4.416296958999999,4.415943146
23,74,2,-435.0,2.897605419,7.624806881,0.395652354,881.9043579,36.32500839,2.834300756,1.87438798
40,74,1,-217.0,2.358699322,7.749761105,0.356312513,491.055542,35.01956177,2.788746119,1.126613021
-72,73,2,-1134.0,1.053945065,7.719274997999999,0.578703284,551.8682251,32.50352097,4.061505318,0.806768596
