longitude,latitude,lithology,bathymetry,nitrate,oxygen,phosphate,productivity,salinity,silicate,temperature
-180,75,4,-231.0,,8.552257538,,310.1996765,31.16549873,,-0.878415167
-179,75,4,-203.0,1.702167988,9.49446106,0.754515588,312.4686584,29.93144989,12.48550034,-1.785413027
-178,75,4,-304.0,1.850257754,9.578868866,0.735949218,291.4362793,30.04857063,12.90210915,-1.904204011
-177,75,4,-278.0,1.960687518,9.668439865,0.720070302,277.3058167,30.21116066,13.25100803,-1.869161963
-176,75,4,-247.0,2.056300879,9.763065337999999,0.70692575,262.9475708,30.39843941,13.59172249,-1.688048005
-175,75,4,-272.0,2.141624928,9.859951973,0.6962304709999999,264.1220398,30.56034088,13.93713284,-1.454679012
-174,75,4,-298.0,2.21705842,9.951381683,0.6866796609999999,274.9150085,30.64084053,14.27214527,-1.2254339459999999
-173,75,4,-344.0,2.282394648,10.02202988,0.6771249770000001,298.8661499,30.63521957,14.568301199999999,-1.01769805
-172,75,4,-375.0,2.338566303,10.04827976,0.66702342,307.1183167,30.58831024,14.80089092,-0.83144021
-171,75,4,-377.0,2.389027357,10.00804043,0.656207025,293.00228880000003,30.45442009,14.94165611,-0.658727527
-170,75,4,-286.0,2.4364414219999997,9.901456833,0.644749999,268.7347107,30.24117088,14.98483562,-0.477133691
-169,75,4,-214.0,2.482003927,9.751342773,0.632406235,254.15879819999998,30.02359009,14.94290638,-0.290331095
-168,75,4,-173.0,2.525304794,9.583215714,0.620445311,248.819809,29.73847008,14.82786751,-0.128591195
-167,75,4,-370.0,2.565722704,9.415665627000001,0.608656228,261.5203247,29.39034081,14.65326118,-0.009079667
-166,75,4,-473.0,2.604652405,9.260538101,0.597152352,278.1388245,29.11849022,14.42775345,0.056145579
-165,75,4,-538.0,2.642921925,9.124673843,0.585714877,271.4795227,28.93844986,14.14632034,0.064089097
-164,75,4,-569.0,2.680906296,9.011281013,0.57370311,259.9589539,28.77850914,13.80450344,0.025562171
-163,75,4,-1787.0,2.7182345389999996,8.920999527000001,0.561687469,247.5452881,28.62710953,13.39589787,-0.03533477
-162,75,4,-1970.0,2.753683567,8.852801323,0.5487577920000001,237.8738251,28.48793983,12.91487503,-0.08665026
-161,75,4,-1772.0,2.786132813,8.804699897999999,0.535656214,245.6220245,28.37919044,12.37520695,-0.099378891
-160,75,4,-1811.0,2.8146209719999997,8.774250984,0.524101555,242.8419037,28.30776024,11.78996086,-0.060548261
-159,75,4,-888.0,2.839839697,8.758810042999999,0.5153594020000001,239.2733307,28.27095985,11.17387104,0.02450569
-158,75,4,-1071.0,2.860476494,8.755600929,0.509597659,236.67686459999996,28.28615952,10.54185581,0.140567794
-157,75,4,-2343.0,2.8741679189999996,8.761652946,0.506042957,225.702713,28.38105011,9.896789551,0.269526005
-156,75,4,-3771.0,2.8771953580000003,8.773727417,0.504175782,202.4209137,28.55308914,9.232956886,0.39073211
-155,75,4,-3807.0,2.868777275,8.788507462,0.503042996,187.4425659,28.768920899999998,8.562734604,0.485864699
-154,75,4,-3804.0,2.8517382139999996,8.803313255,0.502691448,189.2739105,29.00255013,7.919613361000001,0.542204499
-153,75,4,-3802.0,2.8275780680000002,8.81700325,0.5043164489999999,206.8244629,29.2354393,7.3286366460000005,0.555137575
-152,75,4,-3801.0,2.7975156310000004,8.829993248,0.508933604,218.2421417,29.44496918,6.805656432999999,0.529481292
-151,75,4,-3794.0,2.763089895,8.843406677,0.517503917,215.1876068,29.56991005,6.361652374,0.47188729
-150,75,4,-3775.0,2.72594142,8.858348846,0.529250026,204.7164459,29.60716057,6.008594036,0.38717800399999996
-149,75,4,-3776.0,2.68516016,8.875680922999999,0.543992162,190.85249330000002,29.61128998,5.756871222999999,0.278512388
-148,75,4,-3765.0,2.640945435,8.896039008999999,0.561656237,182.6427765,29.596370699999998,5.616644859,0.148147807
-147,75,4,-3751.0,2.594968796,8.919900894,0.580992162,161.39921569999998,29.56785965,5.595445156,-0.002039809
-146,75,4,-3739.0,2.548054695,8.94765377,0.601687491,144.59414669999998,29.52858925,5.682640553,-0.170271397
-145,75,4,-3723.0,2.5030233859999997,8.979625702,0.622878909,130.0654755,29.480169300000004,5.862929821,-0.354774505
-144,75,4,-3710.0,2.461992264,9.016113281,0.643789053,123.09192659999998,29.42351913,6.117386818,-0.553976476
-143,75,4,-3692.0,2.425175667,9.057346343999999,0.663531244,124.4619064,29.35915947,6.422163962999999,-0.7674059870000001
-142,75,4,-3669.0,2.394144535,9.103424072000001,0.6823086140000001,133.0241699,29.28742981,6.771820545,-0.998047888
-141,75,4,-3655.0,2.368843794,9.154312134,0.699816406,142.49316409999997,29.20856094,7.16324234,-1.249825001
-140,75,4,-3594.0,2.345589876,9.209914207,0.716183603,143.41593930000002,29.12286949,7.582273483,-1.50138402
-139,75,4,-3571.0,2.320738316,9.270111084,0.7326874729999999,146.2743988,29.03078079,8.015723227999999,-1.7023539540000001
-138,75,4,-3464.0,2.289531231,9.334750175,0.749433577,147.2118225,28.93291092,8.447000504,-1.795861006
-137,75,4,-3407.0,2.2466797830000003,9.403643608,0.7667734620000001,154.7773438,28.83017921,8.857390404,-1.7358670230000002
-136,75,4,-3410.0,2.188070297,9.476555824,0.784503877,148.8618164,28.72378922,9.239835739,-1.5190130469999998
-135,75,4,-3396.0,2.112253904,9.553199767999999,0.801722646,133.1035309,28.61535072,9.608503342,-1.183200002
-134,75,4,-3421.0,2.0213594440000002,9.633236885,0.8172773720000001,110.6218338,28.50691032,9.982460976,-0.772034109
